manufacturer,device,N_pos,TP,N_neg,TN,FP
Biocan Diagnostics Inc,Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.8333333333333334,80,0.9875,0.012499999999999956
Biocan Diagnostics Inc,Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.8666666666666667,80,1.0,0.0
Biocan Diagnostics Inc,biocan Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.9333333333333333,79,0.9620253164556962,0.03797468354430378
"Biohit Healthcare (Hefei) Co., Ltd.",SARS-CoV-2 IgM/IgG Antibody Test Kit,30,0.9666666666666667,80,0.95,0.050000000000000044
Biolidics Ltd,2019-nCoV IgG/IgM Detection Kit (Colloidal Gold),30,0.9666666666666667,79,0.9620253164556962,0.03797468354430378
Biomedomics,COVID-19 IgM-IgG Rapid Test kit,30,0.7333333333333333,80,1.0,0.0
Boditech Med Incorporated,iChroma COVID-19 Ab,30,0.9666666666666667,80,0.9625,0.03749999999999998
"CTK Biotech, Inc.",OnSite COVID-19 IgG/IgM Rapid Test,30,0.7333333333333333,80,1.0,0.0
"Cellex, Inc.",Cellex qSARs-CoV-2 IgG/IgM Rapid Test,30,0.7666666666666667,80,1.0,0.0
Changzhou Confucius Biotechnology Co Ltd,COVID-19 IgG/IgM Rapid Test Cassette (WB/S/P),30,0.9666666666666667,80,0.9625,0.03749999999999998
ChemBio,DPP COVID-19 IgM/IgG System,28,0.7857142857142857,80,0.9125,0.08750000000000002
"Chemtron Biotech, Inc.",Rapid COVID-19 IgM/IgG Antibody Screen Test,30,0.6333333333333333,80,0.9875,0.012499999999999956
"Doctorspot Technologies Inc,",COVID-19 SARS-CoV-2 IgM/IgG Antibody Rapid Test Kit (Colloidal Gold),30,0.26666666666666666,80,1.0,0.0
Euroimmun,SARS-COV-2 ELISA (IgG),30,0.9,80,1.0,0.0
Euroimmun Medizinische Labordiagnostika AG,EUROIMMUN Anti-SARS-CoV-2 S1 Curve ELISA (IgG),60,0.9,160,1.0,0.0
"GP Getein Biotech, Inc.",One Step Test for Novel Coronavirus (2019-nCoV) IgM/IgG antibody (Colloidal Gold),30,0.7333333333333333,80,1.0,0.0
GenBody Inc.,GenBody COVID-19 IgM/IgG,30,0.5666666666666667,80,1.0,0.0
Genobio Pharmaceutical Co. Ltd,Virusee® COVID-19 IgM/IgG Lateral Flow Assay,30,0.6333333333333333,80,0.9875,0.012499999999999956
"Guangzhou Fenghua Bioengineering Co., Ltd.",SARS-COV-2 IgM/IgG Combo Rapid Test Kit,30,0.7,80,0.95,0.050000000000000044
"H-Guard (China) Co., Ltd.",Novel Coronavirus COVID-19 IgM/IgG Test Kit (colloidal gold),30,0.9333333333333333,80,0.975,0.025000000000000022
Hangzhou AllTest Biotech Co. Ltd,2019-nCoV IgG/IgM Rapid Test Cassette(Whole Blood/Serum/Plasma),30,0.9666666666666667,80,0.975,0.025000000000000022
"Hangzhou Biotest Biotech, Co., Ltd.",Covid-19 IgG/IgM Rapid Test Cassette,30,0.9333333333333333,80,1.0,0.0
"Hangzhou Laihe Biotech Co., Ltd.",Novel Coronavirus (2019-nCoV) IgM/IgG Antibody Combo Test Kit (Colloidal Gold),30,1.0,80,0.9875,0.012499999999999956
"Hangzhou Realy Tech Co., LTD",COVID-19 IgG/IgM Rapid Device Test,30,0.8666666666666667,79,0.9746835443037974,0.025316455696202556
Healgen,COVID-19 IgG/IgM Rapid Test Cassette,30,0.9666666666666667,80,0.975,0.025000000000000022
"Humasis Co., Ltd.",Humasis COVID-19 IgG/IgM Test,30,0.8666666666666667,80,1.0,0.0
InBios International Inc.,SCoV-2 Detect™ IgG ELISA,30,1.0,80,1.0,0.0
"InBios International, Inc.",InBios SCoV-2 Detect IgM/IgG Rapid Test,30,1.0,80,1.0,0.0
"InBios International, Inc.",InBios SCoV-2 Detect™ IgG Rapid Test,30,1.0,80,1.0,0.0
"Innovita (Tangshan) Biological Technology Co., Ltd.",One Step Rapid Test 2019-nCoV Ab Test (Colloidal Gold) IgM/IgG Whole Blood/Serum/Plasma Combo,30,0.9333333333333333,80,0.9875,0.012499999999999956
Invenio Medical Inc.,COVID-19 IgG/IgM Ab Rapid Test,30,0.8,80,1.0,0.0
Jiangsu Dablood Pharmaceutical Co. Ltd,COVID-19 IgM/IgG One Step Rapid Test,30,1.0,80,0.825,0.17500000000000004
Jiangsu Superbio Biomedical (Nanjing) Co Ltd,SARS-CoV-2 (COVID-19) IgM/IgG Antibody Fast Detection Kit (Colloidal Gold),30,1.0,80,0.85,0.15000000000000002
"Jiangsu Well Biotech Co, Ltd.",COVID-19 IgM/IgG Rapid Test (Colloidal gold),30,1.0,80,0.9875,0.012499999999999956
"Jiangsu Well Biotech Co., Ltd.",COVID-19 IgM/IgG Rapid Test,30,1.0,80,1.0,0.0
Liming Bio,Strong Step SARS-CoV-2 IgM/IgG Antibody Rapid Test,30,0.7666666666666667,80,1.0,0.0
LumiQuick Diagnostics,Quick Profile 2019-nCoV IgG/IgM Test Card,30,0.9666666666666667,80,0.9625,0.03749999999999998
MEDsan GmbH,"MEDsan biological health solutions, MEDsan COVID-19 IgM/IgG Rapid Test",30,0.9,80,0.9375,0.0625
"MOKOBIO Biotechnology R&D Center, INC.",SARS-CoV-2 IgM & IgG Quantum Dot Immunoassay,30,0.9333333333333333,80,0.7375,0.26249999999999996
MP Biomedicals Asia Pacific Pte. Ltd.,MP Diagnostics Assure SARS-CoV-2 IgG/IgM Rapid Test,30,0.9666666666666667,80,0.9125,0.08750000000000002
Megna Health Inc.,Megna Rapid COVID-19 IgM/IgG Combo Test Kit,30,1.0,80,0.975,0.025000000000000022
Nanjing Vazyme Medical Technology Co. LTD,Vazyme 2019-nCoV IgG/IgM Detection Kit (Colloidal Gold-Based),30,0.9666666666666667,80,0.9,0.09999999999999998
"Nantong Egens Biotechnology Co., Ltd.",COVID-19 IgG/IgM Rapid Test Kit,30,0.7333333333333333,80,0.925,0.07499999999999996
"Nirmidas Biotech, Inc",COVID-19 (SARS-CoV-2) IgM/IgG Antibody Detection Kit,60,0.8666666666666667,160,1.0,0.0
"Nirmidas Biotech, Inc.",MidaSpot COVID-19 Antibody Combo Detection Kit (NBPC-0007),30,0.9666666666666667,80,0.975,0.025000000000000022
"Ortho-Clinical Diagnostics, Inc.",VITROS Immunodiagnostic Products Anti-SARS-CoV-2 IgG Reagent Pack,30,1.0,80,1.0,0.0
"PCL, Inc.",PCL COVID19 IgG/IgM Rapid Gold,30,0.8,80,0.9875,0.012499999999999956
Phamatech,COVID19 RAPID TEST,30,0.8666666666666667,80,0.9625,0.03749999999999998
"Polymedco, Inc.",Polystat SARS-CoV-2 Antibody Test,30,0.6,80,0.975,0.025000000000000022
"Predictive Laboratories, Inc.",Assurance AB COVID-19 IgM/IgG Rapid Antibody Test,30,0.9,80,1.0,0.0
RayBiotech,Novel Coronavirus (SARS-CoV-2) IgM and IgG Dual Combined Antibody Detection Kit (Colloidal Gold Method),30,0.4666666666666667,80,1.0,0.0
"SD BIOSENSOR, Inc.",STANDARD Q COVID-19 IgM/IgG Duo,30,0.7333333333333333,80,0.9875,0.012499999999999956
Salofa Oy,Sienna COVID-19 IgG/IgM Rapid Test Cassette (whole blood/serum/plasma),30,0.9333333333333333,80,0.9875,0.012499999999999956
"Shanghai Fosun Long March Medical Science Co., Ltd.",Fosun COVID-19 IgG/IgM Rapid Antibody Detection Kit,30,0.36666666666666664,80,0.9875,0.012499999999999956
Shenzhen JetMay Care Limited,COVID-19 IgM & IgG Test,30,0.5666666666666667,80,1.0,0.0
"Sugentech, Inc.",SGTi-flex COVID-19 IgG,30,0.9666666666666667,80,1.0,0.0
"Sugentech, Inc.",Sugentech SGTi-flex COVID-19 IgM/IgG,30,0.9333333333333333,80,1.0,0.0
SurExam Bio-Tech Co. Ltd.,Surplex COVID-19 IgM/IgG Rapid Test,30,0.7666666666666667,80,1.0,0.0
TBG Biotechnology Corp,SARS-CoV-2 IgG/IgM Rapid Test Kit,30,0.9333333333333333,80,0.9625,0.03749999999999998
TESTSEALABS,SARS-COV-2-IgG/IgM Test Cassette,30,0.4,80,0.9375,0.0625
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Rapid Test,30,0.8333333333333334,80,0.9875,0.012499999999999956
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Test,30,0.8666666666666667,80,1.0,0.0
The Lab-19,COVID-19 IgM/IgG Antibodies Rapid Test,30,0.9666666666666667,80,1.0,0.0
"Tianjin Beroni Biotechnology Co., Ltd.",SARS-COV-2 IgG/IgM Antibody Detection Kit,30,0.3,80,1.0,0.0
Tianjin New Bay Bioresearch C. #1,Quik Pac II COVID-19 IgG & IgM Test,30,0.7333333333333333,80,1.0,0.0
Top Biotech Sdn. Bhd.,Top Rapid COVID-19 Rapid Antibody IgG/IgM Test Kit,30,0.8333333333333334,80,1.0,0.0
"United Biomedical, Inc.",SARS-COV-2 ELISA,60,0.8833333333333333,160,1.0,0.0
Vincitek LLC,Vincitek S2-AB Test Card,30,0.8333333333333334,80,1.0,0.0
"W.H.P.M, Inc.",Covisure Covid-19 IgM/IgG Rapid Test,30,0.7,80,0.95,0.050000000000000044
Wuhan Easy Diagnosis Biomedicine Co. Ltd.,COVID-19 (SARS-CoV-2) IgM/IgG Antibody Test Kit,30,0.9666666666666667,80,0.9875,0.012499999999999956
"Xiamen AmonMed Biotechnology Co., Ltd",COVID-19 IgM/IgG Test Kit (colloidal gold),30,0.8666666666666667,80,0.9875,0.012499999999999956
"Xiamen Biotime Biotechnology Co., Ltd.",Biotime SARS-CoV-2 IgG/IgM Rapid Qualitative Test,30,0.9666666666666667,80,0.975,0.025000000000000022
"ZEUS Scientific, Inc.",ZEUS SARS-CoV-2 IgM/IgG Lateral Flow Immunoassay,30,1.0,80,0.9625,0.03749999999999998
"Zeus Scientific, Inc.",SARS-CoV-2 IgG Test System,30,0.9333333333333333,80,0.975,0.025000000000000022
Zhongshan Bio-Tech Co LTD,SARS-CoV-2 IgM-IgG (GICA),30,0.9666666666666667,80,0.85,0.15000000000000002
Zhuhai Livzon Diagnostic Inc.,IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronavirus (SARS-COV-2),30,0.6333333333333333,80,1.0,0.0
Zhuhai Livzon Diagnostics Inc,Livzon IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronovirus (SARS-Cov-2) Lateral Flow,30,0.6666666666666666,80,1.0,0.0
